シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,派生元ーアクティビティ・アウトプット・アウトカムの番号,派生元ー種別（アクティビティ・アウトプット・アウトカム）,派生元ーアウトカムの期間,派生元ーアクティビティの内容/ 活動目標／成果目標,派生元ー活動指標／成果指標,派生先ーアクティビティ・アウトプット・アウトカムの番号,派生先ー種別（アクティビティ・アウトプット・アウトカム）,派生先ーアウトカムの期間,派生先ー 活動目標／成果目標,派生先ー活動指標／成果指標,後続アウトカムへのつながり,アウトカムを複数段階で設定できない理由
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,1,アクティビティ,,統合・集約化対象システムの計画的な利用終了を支援する。,,10,アウトプット,,統合・集約化対象システムに対する利用終了支援の実施,統合・集約化対象システムへの利用終了支援完了件数,,アクティビティである利用終了支援の実施が、最終目標である全統合・集約化対象システムの利用終了に直接結びつくため。
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,2,アクティビティ,,政府情報システムを対象にITリソース・共通的機能等を提供し、運用・保守の実施における品質を維持して安定運用を行う。,,20,アウトプット,,政府情報システムの利用に支障が出ないよう、運用・保守の実施における品質を維持する,運用実施計画（WBS）の進捗率（％）,,
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,10,アウトプット,,統合・集約化対象システムに対する利用終了支援の実施,統合・集約化対象システムへの利用終了支援完了件数,11,アウトカム,長期,全統合・集約化対象システムの利用終了,統合・集約化対象システムの利用終了件数,統合・集約化対象システムに対する利用終了に向けたスケジュール調整や問合せ対応等の利用終了支援を確実に実施することにより、統合・集約化対象システムが計画的に利用終了することが可能となるため、統合・集約化対象システムの利用終了件数をアウトカムとして設定した。,アクティビティである利用終了支援の実施が、最終目標である全統合・集約化対象システムの利用終了に直接結びつくため。
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,20,アウトプット,,政府情報システムの利用に支障が出ないよう、運用・保守の実施における品質を維持する,運用実施計画（WBS）の進捗率（％）,21,アウトカム,長期,第一期PFの安定稼働,第一期PFの稼働率（％）,運用・保守の実施における品質を維持することによって、政府情報システムの共通基盤である第一期PFの安定運用が可能となるため、第一期PFの稼働率をアウトカムとして設定した。,運用・保守の実施における品質を維持することが、最終的な目標である第一期PFの安定運用に直接結びつくため。
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,1,アクティビティ,,関係機関・団体、教育関係者等により構成される法教育推進協議会及び部会を開催して、法教育の推進に資する施策等について協議・検討を行い、協議内容を反映した法教育教材の作成・提供など学校現場等への支援を行う。,,1,アウトプット,,法教育推進協議会及び部会の実施,法教育推進協議会及び部会の実施件数,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,1,アウトカム,短期,効果的な法教育実践のための学校等への支援,出前授業の年間実施状況,1,アウトカム,長期,「法的なものの考え方」が広く国民に浸透する,各学校現場における法教育の実践状況に関する調査研究結果,"出前授業を活用するといった学校現場における効果的な法教育の実施件数が増加することは、個人の尊厳や法の支配などの基本原理を理解し、法を主体的に利用できる力を養うことにつながると考えられるため、学校現場での効果的な法教育実践を通じた自由かつ公正な社会を支える人材の育成を長期アウトカムに設定した。
法教育推進協議会及び部会を開催して、協議・検討を行い、より手軽で効果的な法教育教材や補助資料、法教育教材の活用事例を提供することで、教員による法教育学習の負担軽減や学習内容の充実が実現し、ひいては自由かつ公正な社会を支える人材の育成につながると考えられるため、各学校現場における法教育の実践状況に関する調査結果を指標とした。",
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,1,アウトプット,,法教育推進協議会及び部会の実施,法教育推進協議会及び部会の実施件数,1,アウトカム,短期,効果的な法教育実践のための学校等への支援,出前授業の年間実施状況,"法教育推進協議会及び部会を実施して法教育の取組等に関する情報交換及び今後の在り方を検討し、施策等に反映することで、学校現場における教員の負担軽減や知識の向上につながると考えられる一方、ノウハウがないなど教員自ら法教育を行うにはなお障壁があることから、効果的な法教育実践のための学校等への支援を短期アウトカムに設定した。
法務省では学校等からの要請に応じて法務省職員を派遣して法教育出前授業を実施しているところ、要請数の増減は、学校現場等における法教育の認知度や実施状況を反映するものと考えられるため、出前授業の実施件数を成果指標とした。",
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2,アクティビティ,,法務省ホームページにおける法教育関連ページにおいて、法教育に関する取組（法教育教材、出前授業・講師派遣等）を掲載したり、SNS等を利用した広報活動等を行うことで、国民に対して法教育に関する情報発信を行う。,,2,アウトプット,,国民が法教育に接する機会の提供,SNS（法教育マスコットキャラクターホウリス君のX）により国民向けに情報発信（投稿）をした回数,,
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2,アウトプット,,国民が法教育に接する機会の提供,SNS（法教育マスコットキャラクターホウリス君のX）により国民向けに情報発信（投稿）をした回数,2,アウトカム,短期,法に関する国民の興味・関心の向上,出前授業の年間実施状況,"広報活動等により法教育に関する情報発信を行うことで、国民が法教育に接する機会の増加や、司法への国民の意識醸成につながると考えられるため、法に関する国民の興味・関心の向上を短期アウトカムに設定した。
法務省では学校等からの要請に応じて法務省職員を派遣して法教育出前授業を実施しているところ、法に関する国民の興味・関心の向上が出前授業の実施要請の増加につながると考えられるため、出前授業の実施件数を成果指標とした。",
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2,アウトカム,短期,法に関する国民の興味・関心の向上,出前授業の年間実施状況,2,アウトカム,長期,「法的なものの考え方」が広く国民に浸透する,法教育教材の発送件数,"各種情報発信や出前授業の実施等を通じ、法に関する国民の興味・関心が向上することは、法教育に関する国民の意識や行動が変容することにつながると考えられるため、法的なものの考え方が広く国民に浸透することを長期アウトカムに設定した。
社会における法教育の重要性・必要性が高まると、法に関する国民の興味・関心が向上し、法への理解を深めるために法教育教材の活用場面が増え、法教育教材の発送要請が増加すると考えられるため、法教育教材の発送件数を指標とした。",
