シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,支出先ブロック番号,支出先名,法人番号,契約概要,費目,使途,金額
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,A,東京センチュリー株式会社,6010401015821,政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（平成31 年度後半-平成32 年度前半移行対象システム用等,機器・ソフトウェア等借入,システムの機器・ソフトウェア等のリース経費,3320900000
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,B,株式会社ＮＴＴデータ,6010601062093,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,システム運用・保守,システムの運用・保守作業を実施するための経費（変更を含む）,1841580000
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,関西電力株式会社,3120001059632,庁舎等に係る維持管理経費（電気料）,庁舎管理等,庁舎の維持管理等に係る経費,38195000
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,D,富士通株式会社,1020001071491,第一期政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（平成24 年度～平成 30 年度及び令和２年度導入済機器・ソフトウェアに係る令和５年度の賃貸借並びに平成24 年度～令和２年度導入済機器に係る令和６年度の賃貸借及び令和６年度の撤去）,機器・ソフトウェア等借入,システムの機器・ソフトウェア等のリース経費,1450143000
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,株式会社ＮＴＴデータＳＭＳ,2010601032678,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,システム運用・保守,システムの運用・保守作業を実施するための経費（変更を含む）,444576000
レビューシート,2024,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,日本メックス株式会社,6010001062545,令和５年度建物設備維持管理業務,庁舎管理等,庁舎の維持管理等に係る経費,10285000
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,A,麹町税務署,,謝金の源泉徴収,諸謝金,会議出席に対する謝金の源泉徴収,129000
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,B,株式会社ＩＡＣＥトラベル,7010001128717,出前講演等へ出席するための旅費,旅費,出前講演等へ出席するための旅費,141000
レビューシート,2024,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,C,株式会社バリュース,2010001220024,高校生向け法教育リーフレットの作成・配送業務等,印刷製本費・通信運搬費,高校生向け法教育リーフレットの作成・配送業務等,14262000
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,A,国立研究開発法人新エネルギー・産業技術総合開発機構,2020005008480,基金事業の執行管理,事業費,ポスト５Ｇ情報通信システムの開発、先端半導体製造技術の開発に係る費用,230341451067
レビューシート,2024,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,A,国立研究開発法人新エネルギー・産業技術総合開発機構,2020005008480,基金事業の執行管理,管理費,管理費,1538584555
レビューシート,2024,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,,,,,,,
