シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,予算年度,当初予算（合計）,補正予算（合計）,前年度からの繰越し（合計）,予備費等（合計）,計（歳出予算現額合計）,執行額（合計）,執行率,翌年度への繰越し(合計）,翌年度要求額（合計）,主な増減理由,その他特記事項,会計区分,会計,勘定,当初予算,第1次補正予算,第2次補正予算,第3次補正予算,第4次補正予算,第5次補正予算,前年度から繰越し,予備費等1,予備費等2,予備費等3,予備費等4,歳出予算現額,執行額,翌年度要求額,要望額,備考
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2021,28854000,0,0,0,28854000,23000000,0.79712,0,42300000.0,新たな成長推進枠：17庁費：調査研究業務委託費の増等委員等旅費：協議会回数等の見直しによる減,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,884,法教育の推進,16,法務省,法務省,大臣官房,司法法制部,司法法制課,,,司法制度第二係,2021,,,,,,,,,,,,一般会計,一般会計,,28854000,0,0,0,0,0,0,0,0,0,0,28854000,23000000,42300000,0,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,2025,5252000,0,0,0,5252000,0,,0,9973000.0,令和８年度に必要な経費を見直し、旅費等を新規計上したため。,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,2025,,,,,,,,,,,,一般会計,一般会計,,5252000,0,0,0,0,0,0,0,0,0,0,5252000,0,9973000,0,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,2024,3660000,0,0,0,3660000,0,,0,5252000.0,国連人権条約体委員の変更に伴う、招へい者（招へい先）見直し航空賃単価の見直し,令和２年度は新型コロナウイルス感染症の影響で招へいが実現せず、また、令和３年度以降は、対日審査が予想されたため一旦事業を中断していたが、令和５年度中に対日審査が予定されていことから、右審査が終了した後に本件招へいを再開するための予算を計上した。一方で、新型コロナウイルス感染症の影響で国別審査が大幅にずれ込むことになり、令和６年１０月に対日審査が行われることになったため、本招へいは令和６年度下半期より実施の予定。,,,,,,,,,,,,,,,,,,,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,2024,,,,,,,,,,,,一般会計,一般会計,,3660000,0,0,0,0,0,0,0,0,0,0,3660000,0,5252000,0,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,2023,4000000,0,0,0,4000000,0,,0,5000000.0,令和２年度は新型コロナウイルス感染症の影響で招へいが実現せず、また、令和３年度以降は、対日審査が予想されたため一旦事業を中断していたが、令和５年度中に対日審査が実施される可能性が高いことから、右審査が終了した後に本件招へいを再開するための予算を計上した。,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,2023,,,,,,,,,,,,一般会計,一般会計,,4000000,0,0,0,0,0,0,0,0,0,0,4000000,0,5000000,0,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,2022,0,0,0,0,0,0,,0,4000000.0,令和５年度に対日審査が終了する見込みのため、招へい事業を再開させる必要があるため,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,2022,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,0,4000000,0,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,2021,0,0,0,0,0,0,,0,0.0,令和４年度中に予算要求無し（対日審査の実施が想定されており、招へいは自粛する必要があるため）。,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,1319,女性の人権の保護・促進のための国際協力推進に係る経費（令和７年度までの予算事業名は「国連人権条約体対日理解促進プログラム関連経費」）,17,外務省,外務省,総合外交政策局,,人権人道課,女性参画推進室,,,2021,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,2025,0,0,0,0,0,0,,0,0.0,,"医療提供体制推進事業費補助金について、予算額と要求額は事業ごとの明細を出せないため、内数表記（予算額）　　・2021年度：23,948,718	千円の内数　・2022年度：23,986,380	千円の内数　・2023年度：25,054,548	千円の内数　・2024年度：26,064,639	千円の内数　・2025年度：26,654,547 千円の内数　・2025年度補正予算額：2,306,090千円の内数（執行額）　・2021年度：7,226,012千円　・2022年度：7,516,121千円　・2023年度：8,268,227千円　・2024年度：9,062,976千円（要求額）・2022年度：24,084,702千円の内数・2023年度；25,054,548千円の内数・2024年度：26,743,311千円の内数・2025年度：27,062,549千円の内数・2026年度：26,977,555千円の内数",,,,,,,,,,,,,,,,,,,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,2025,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,2024,0,0,0,0,0,0,,0,0.0,,"医療提供体制推進事業費補助金について、予算額と要求額は事業ごとの明細を出せないため、内数表記（予算額）　　・2021年度：23,948,718	千円の内数　・2022年度：23,986,380	千円の内数　・2023年度：25,054,548	千円の内数　・2024年度：26,064,639	千円の内数（執行額）　・2021年度：7,226,012千円　・2022年度：7,516,121千円　・2023年度：8,268,227千円（要求額）・2022年度：24,084,702千円の内数・2023年度；25,054,548千円の内数・2024年度：26,743,311千円の内数・2025年度：27,062,549千円の内数",,,,,,,,,,,,,,,,,,,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,2024,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,2023,0,0,0,0,0,0,,0,0.0,・導入機体数の増加によるもの,"医療提供体制推進事業費補助金25,054,548千円の内数",,,,,,,,,,,,,,,,,,,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,2023,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,2022,0,0,0,0,0,0,,0,0.0,,"医療提供体制推進事業費補助金23,986,380千円の内数",,,,,,,,,,,,,,,,,,,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,2022,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,2021,0,0,0,0,0,0,,0,0.0,,"医療提供体制推進事業費補助金23,948,718千円の内数",,,,,,,,,,,,,,,,,,,
レビューシート,2025,1937,ドクターヘリの導入促進（統合補助金分）,20,厚生労働省,厚生労働省,医政局,,地域医療計画課,救急・周産期医療等対策室,,,2021,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2025,161700000000,153656459250,0,0,315356459250,0,,0,0.0,,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2025,,,,,,,,,,,,特別会計,エネルギー対策,エネルギー需給勘定,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2025,,,,,,,,,,,,特別会計,エネルギー対策,先端半導体・人工知能関連技術勘定,161700000000,153656459250,0,0,0,0,0,0,0,0,0,315356459250,0,0,0,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2025,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2024,0,990178535000,0,0,990178535000,990178535000,1,0,0.0,,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2024,,,,,,,,,,,,特別会計,エネルギー対策,エネルギー需給勘定,0,157616000000,0,0,0,0,0,0,0,0,0,157616000000,11775762000,0,0,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2024,,,,,,,,,,,,一般会計,一般会計,,0,832562535000,0,0,0,0,0,0,0,0,0,832562535000,978402773000,0,0,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2023,0,677292895000,0,0,677292895000,677292895000,1,0,0.0,,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2023,,,,,,,,,,,,特別会計,エネルギー対策,エネルギー需給勘定,0,30799793000,0,0,0,0,0,0,0,0,0,30799793000,30799793000,0,0,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2023,,,,,,,,,,,,一般会計,一般会計,,0,646493102000,0,0,0,0,0,0,0,0,0,646493102000,646493102000,0,0,事業単位整理表に金額を表示する為に必要な会計明細となりますので、消去しないよう、お願いいたします。／24年度明細としては不要ですので、消去して頂いて結構です（行革）。
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2022,0,485009192000,0,0,485009192000,485009192000,1,0,0.0,,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2022,,,,,,,,,,,,一般会計,一般会計,,0,485009192000,0,0,0,0,0,0,0,0,0,485009192000,485009192000,0,0,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2021,0,110003000000,0,0,110003000000,110003000000,1,0,0.0,,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,3522,ポスト５Ｇ情報通信システム基盤強化研究開発事業（AI基盤モデル及び先端半導体関連技術開発事業）,22,経済産業省,経済産業省,商務情報政策局,,情報産業課,,,,2021,,,,,,,,,,,,一般会計,一般会計,,0,110003000000,0,0,0,0,0,0,0,0,0,110003000000,110003000000,0,0,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,2025,601732000,900000000,700000000,0,2201732000,0,,0,1301725000.0,日本産酒類の一層の輸出拡大のため、酒類事業者による供給基盤の強化や海外展開に向けた意欲的な取組への支援をさらに強化・拡充するべく、令和7年度に比し増額になった。,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,2025,,,,,,,,,,,,一般会計,一般会計,,601732000,900000000,0,0,0,0,700000000,0,0,0,0,2201732000,0,1301725000,1300000000,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,2024,601695000,700000000,0,0,1301695000,514971680,0.39562,700000000,1301732000.0,日本産酒類の一層の輸出拡大のため、酒類事業者による供給基盤の強化や海外展開に向けた意欲的な取組への支援をさらに強化・拡充するべく、令和６年度に比し増額になった。,,,,,,,,,,,,,,,,,,,,
レビューシート,2025,18556,酒類業振興支援事業,18,財務省,国税庁,国税庁,課税部,酒税課酒類業振興・輸出促進室,,,,2024,,,,,,,,,,,,一般会計,一般会計,,601695000,700000000,0,0,0,0,0,0,0,0,0,1301695000,514971680,1301732000,1300000000,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,2025,0,0,0,0,0,0,,0,271784000.0,,「令和８年度要求以降のＦ－ＲＥＩの予算等の運営について（令和７年８月８日関係省庁申合せ）」に基づき、福島国際研究教育機構の一般管理費及び研究開発費の一部を一般会計として要求・要望することとなった。,,,,,,,,,,,,,,,,,,,
レビューシート,2025,21625,新産業創出等研究開発推進事業費補助（一般会計）,19,文部科学省,文部科学省,研究振興局,,研究振興戦略官,,,,2025,,,,,,,,,,,,一般会計,一般会計,,0,0,0,0,0,0,0,0,0,0,0,0,0,271784000,246405000,
