シート種別,事業年度,予算事業ID,事業名,府省庁の建制順,政策所管府省庁,府省庁,局・庁,部,課,室,班,係,支出先ブロック番号,支出先ブロック名,支出先の数,事業を行う上での役割,ブロックの合計支出額,支出先名,法人番号,所在地,法人種別,その他支出先,支出先の合計支出額,契約概要,金額,契約方式等,具体的な契約方式等,入札者数,落札率,一者応札・一者応募又は競争性のない随意契約となった理由及び改善策（支出額10億円以上）,その他の契約
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,庁舎等に係る維持管理経費（エレベーター保守）,18378 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,庁舎等に係る維持管理経費(塵芥処理),1849 ,その他,庁舎分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,その他,,,,TRUE,,大阪国際空港庁舎原状回復工事監理業務,0 ,一般競争契約（最低価格）,,2,81.7,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,ホーチキ株式会社,3010701008973 ,東京都品川区上大崎２丁目１０番４３号,301,FALSE,1226000 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,ホーチキ株式会社,3010701008973 ,東京都品川区上大崎２丁目１０番４３号,301,FALSE,,西日本拠点庁舎分担金（防災設備更新）,1226000 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,三神工業株式会社,2140001007912 ,兵庫県神戸市中央区磯辺通２丁目１番１１号,301,FALSE,2137600 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,三神工業株式会社,2140001007912 ,兵庫県神戸市中央区磯辺通２丁目１番１１号,301,FALSE,,庁舎等に係る維持管理経費（空気調和設備その他工事）,2137600 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,国土交通省航空局,2000012100001 ,,,FALSE,1363449 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,国土交通省航空局,2000012100001 ,,,FALSE,,西日本拠点国有財産土地使用料,1354591 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,国土交通省航空局,2000012100001 ,,,FALSE,,西日本拠点国有財産建物使用料,8858 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,宏電エテック株式会社,8120001079171 ,大阪府大阪市中央区南船場１丁目４番２７号,301,FALSE,514171 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,宏電エテック株式会社,8120001079171 ,大阪府大阪市中央区南船場１丁目４番２７号,301,FALSE,,西日本拠点庁舎分担金（電気設備保守）,514171 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,株式会社ハヤシハウジング,6120101005806 ,,,FALSE,629640 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,株式会社ハヤシハウジング,6120101005806 ,,,FALSE,,令和６年度西日本拠点清掃作業,629640 ,随意契約（少額）,,2,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,株式会社ライズ,4120001177301 ,,,FALSE,107558000 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,株式会社ライズ,4120001177301 ,,,FALSE,,大阪国際空港庁舎原状回復工事一式（機械設備改修工事・電気設備改修工事・建築／改修工事）,107558000 ,一般競争契約（最低価格）,,4,75.1,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,都市環境整美株式会社,6011101014452 ,東京都新宿区西新宿１丁目２５番１号,301,FALSE,5263204 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,都市環境整美株式会社,6011101014452 ,東京都新宿区西新宿１丁目２５番１号,301,FALSE,,庁舎等に係る維持管理経費（庁舎警備）,5263204 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,関西電力株式会社,3120001059632 ,,,FALSE,25265690 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,関西電力株式会社,3120001059632 ,,,FALSE,,庁舎等に係る維持管理経費（電気料）,25265690 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,ＡＮＡスカイビルサービス株式会社,4010801006133 ,東京都大田区羽田空港３丁目５番１０号,301,FALSE,411717 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,ＡＮＡスカイビルサービス株式会社,4010801006133 ,東京都大田区羽田空港３丁目５番１０号,301,FALSE,,西日本拠点庁舎分担金（給排水設備保守・空気調和設備保守）,411717 ,その他,合庁分担金,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,ＮＴＴアノードエナジー株式会社,1010001201446 ,,,FALSE,10252000 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,ＮＴＴアノードエナジー株式会社,1010001201446 ,,,FALSE,,令和６年度建物設備維持管理業務,9988000 ,一般競争契約（最低価格）,,1,99.8,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,C,,,,,ＮＴＴアノードエナジー株式会社,1010001201446 ,,,FALSE,,西日本拠点火災報知器の取り外し作業に係る請負,264000 ,随意契約（少額）,,2,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,D,ＫＯＥＩ　ＪＡＰＡＮ株式会社ほか,3,データ削除及び破壊並びに産廃処理等,5698110 ,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,D,,,,,株式会社オフィスバスターズ,8010001096335 ,,,FALSE,919930 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,D,,,,,株式会社オフィスバスターズ,8010001096335 ,,,FALSE,,LTOテープ等のデータ消去及び破壊並びに廃棄処理の請負,919930 ,随意契約（少額）,,2,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,D,,,,,株式会社中央梱包運輸,1011301004415 ,東京都杉並区高円寺南４丁目２７番１号,301,FALSE,433730 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,D,,,,,株式会社中央梱包運輸,1011301004415 ,東京都杉並区高円寺南４丁目２７番１号,301,FALSE,,中央合同庁舎第2号館低層棟1階における産業廃棄物の収集、運搬及び処分の請負,433730 ,随意契約（少額）,,2,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,D,,,,,ＫＯＥＩ　ＪＡＰＡＮ株式会社,9020001034739 ,,,FALSE,4344450 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,D,,,,,ＫＯＥＩ　ＪＡＰＡＮ株式会社,9020001034739 ,,,FALSE,,西日本拠点産業廃棄物の収集、運搬及／び処分の請負,4344450 ,一般競争契約（最低価格）,,1,96.4,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,富士通株式会社ほか,4,機器・ソフトウェア等の貸付,49857343 ,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,,,,,富士通株式会社,1020001071491 ,神奈川県川崎市中原区上小田中４丁目１番１号,301,FALSE,22187500 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,,,,,富士通株式会社,1020001071491 ,神奈川県川崎市中原区上小田中４丁目１番１号,301,FALSE,,第一期政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（平成24年度～平成30年度及び令和２年度導入済機器・ソフトウェアに係る令和５年度の賃貸借並びに平成24年度～令和２年度導入済機器に係る令和６年度の賃貸借及び令和６年度の撤去）,22187500 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,,,,,日本電気株式会社,7010401022916 ,東京都港区芝５丁目７番１号,301,FALSE,7987482 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,,,,,日本電気株式会社,7010401022916 ,東京都港区芝５丁目７番１号,301,FALSE,,第一期政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（平成24年度～平成30年度及び令和２年度導入済機器・ソフトウェアに係る令和５年度の賃貸借並びに平成24年度～令和２年度導入済機器に係る令和６年度の賃貸借及び令和６年度の撤去）,7987482 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,,,,,株式会社ＮＴＴデータ,6010601062093 ,東京都江東区豊洲３丁目３番３号,301,FALSE,10650000 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,,,,,株式会社ＮＴＴデータ,6010601062093 ,東京都江東区豊洲３丁目３番３号,301,FALSE,,第一期政府共通プラットフォームの整備に係る機器・ソフトウェア賃貸借（PF-Standard）の調達（平成24年度～平成30年度及び令和２年度導入済機器・ソフトウェアに係る令和５年度の賃貸借並びに平成24年度～令和２年度導入済機器に係る令和６年度の賃貸借及び令和６年度の撤去）,10650000 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,,,,,株式会社ＮＴＴデータＳＭＳ,2010601032678 ,東京都江東区豊洲３丁目３番９号豊洲センタービルアネックス,301,FALSE,9032361 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,E,,,,,株式会社ＮＴＴデータＳＭＳ,2010601032678 ,東京都江東区豊洲３丁目３番９号豊洲センタービルアネックス,301,FALSE,,第一期政府共通プラットフォームの整備に係る施設・設備賃貸借の調達（平成24年度～平成30年度整備済施設・設備に係る令和５年度の賃貸借及び平成24年度～平成31年度整備済施設・設備に係る令和６年度の賃貸借),9032361 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,株式会社ＮＴＴデータＳＭＳほか,8,システム運用・保守,8159642 ,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,富士通株式会社,1020001071491 ,神奈川県川崎市中原区上小田中４丁目１番１号,301,FALSE,1825289 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,富士通株式会社,1020001071491 ,神奈川県川崎市中原区上小田中４丁目１番１号,301,FALSE,,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,1825289 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,日本電気株式会社,7010401022916 ,東京都港区芝５丁目７番１号,301,FALSE,1543247 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,日本電気株式会社,7010401022916 ,東京都港区芝５丁目７番１号,301,FALSE,,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,1543247 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,株式会社ライターム,9011101039199 ,東京都新宿区高田馬場１丁目２８番１０号,301,FALSE,93082 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,株式会社ライターム,9011101039199 ,東京都新宿区高田馬場１丁目２８番１０号,301,FALSE,,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,93082 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,株式会社ＮＴＴデータ・アイ,2011101056358 ,東京都新宿区揚場町１番１８号,301,FALSE,709020 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,株式会社ＮＴＴデータ・アイ,2011101056358 ,東京都新宿区揚場町１番１８号,301,FALSE,,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,709020 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,株式会社ＮＴＴデータ関西,4120001054120 ,大阪府大阪市北区堂島３丁目１番２１号,301,FALSE,264000 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,株式会社ＮＴＴデータ関西,4120001054120 ,大阪府大阪市北区堂島３丁目１番２１号,301,FALSE,,政府共通プラットフォームの運用等の請負（令和５年度）,264000 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,株式会社ＮＴＴデータＳＭＳ,2010601032678 ,東京都江東区豊洲３丁目３番９号豊洲センタービルアネックス,301,FALSE,3422786 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,株式会社ＮＴＴデータＳＭＳ,2010601032678 ,東京都江東区豊洲３丁目３番９号豊洲センタービルアネックス,301,FALSE,,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,3422786 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,ＮＴＴテクノクロス株式会社,5010401056882 ,東京都港区芝浦３丁目４番１号,301,FALSE,76260 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,ＮＴＴテクノクロス株式会社,5010401056882 ,東京都港区芝浦３丁目４番１号,301,FALSE,,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,76260 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,ＴＤＣソフト株式会社,8011001014542 ,東京都千代田区九段南１丁目６番５号,301,FALSE,225958 ,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,F,,,,,ＴＤＣソフト株式会社,8011001014542 ,東京都千代田区九段南１丁目６番５号,301,FALSE,,政府共通プラットフォームの運用等の請負（令和５年度及び令和６年度）,225958 ,その他,再委託,,,,FALSE
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,G,日本メックス株式会社,1,庁舎管理等,5481300 ,,,,,,,,,,,,,,
レビューシート,2025,11,第一期政府共通プラットフォーム（情報通信技術調達等適正・効率化推進費）,13,デジタル庁,デジタル庁,省庁業務サービス,,政府共通プラットフォーム担当,,,,G,,,,,日本メックス株式会社,6010001062545 ,東京都中央区入船３丁目６番３号,301,FALSE,5481300 ,,,,,,,,
